id_1,801,802,803,804,805,806,807,808,809,821,822,823,824,825,826,827,829,830,831
801,0.0,2.8,6.0,7.7,11.7,13.4,16.9,19.6,21.0,23.52,24.67,26.53,27.92,29.08,30.87,32.53,36.32,38.27,39.24
802,2.8,0.0,3.4,5.2,9.2,10.9,14.3,17.1,18.5,20.92,22.07,23.93,25.32,26.48,28.27,29.93,33.72,35.67,36.64
803,6.0,3.4,0.0,2.0,6.0,7.7,11.1,13.9,15.3,17.72,18.87,20.73,22.12,23.28,25.07,26.73,30.52,32.47,33.44
804,7.7,5.2,2.0,0.0,4.4,6.1,9.5,12.3,13.7,16.12,17.27,19.13,20.52,21.68,23.47,25.13,28.92,30.87,31.84
805,11.7,9.2,6.0,4.4,0.0,2.0,5.4,8.2,9.6,12.02,13.17,15.03,16.42,17.58,19.37,21.03,24.82,26.77,27.74
806,13.4,10.9,7.7,6.1,2.0,0.0,3.8,6.6,8.0,10.42,11.57,13.43,14.82,15.98,17.77,19.43,23.22,25.17,26.14
807,16.9,14.3,11.1,9.5,5.4,3.8,0.0,2.9,4.3,6.82,7.97,9.83,11.22,12.38,14.17,15.83,19.62,21.57,22.54
808,19.6,17.1,13.9,12.3,8.2,6.6,2.9,0.0,1.7,4.12,5.27,7.13,8.52,9.68,11.47,13.13,16.92,18.87,19.84
809,21.0,18.5,15.3,13.7,9.6,8.0,4.3,1.7,0.0,2.92,4.07,5.93,7.32,8.48,10.27,11.93,15.72,17.67,18.64
821,23.52,20.92,17.72,16.12,12.02,10.42,6.82,4.12,2.92,0.0,1.8,3.67,5.06,6.22,8.01,9.43,13.26,15.17,16.15
822,24.67,22.07,18.87,17.27,13.17,11.57,7.97,5.27,4.07,1.8,0.0,2.21,3.6,4.76,6.55,8.0,11.81,13.74,14.68
823,26.53,23.93,20.73,19.13,15.03,13.43,9.83,7.13,5.93,3.67,2.21,0.0,1.79,2.94,4.74,6.15,10.0,11.89,12.87
824,27.92,25.32,22.12,20.52,16.42,7.8,11.22,8.52,7.32,5.06,3.6,1.79,0.0,1.71,3.5,4.92,8.77,10.66,11.64
825,29.08,26.48,23.28,21.68,17.58,15.98,12.38,9.68,8.48,6.22,4.76,2.94,1.71,0.0,2.2,3.65,7.46,9.35,10.33
826,30.87,28.27,25.07,23.47,19.37,17.77,14.17,11.47,10.27,8.01,6.55,4.74,3.5,2.2,0.0,2.05,5.81,7.71,8.69
827,32.53,29.93,26.73,25.13,21.03,19.43,15.83,13.13,11.93,9.43,8.0,6.15,4.92,3.65,2.05,0.0,4.14,6.06,7.04
829,36.32,33.72,30.52,28.92,24.82,23.22,19.62,16.92,15.72,13.26,11.81,10.0,21.4,7.46,5.81,4.14,0.0,2.38,3.36
830,38.27,35.67,32.47,30.87,26.77,25.17,21.57,18.87,17.67,15.17,13.74,11.89,10.66,,7.71,6.06,2.38,0.0,1.39
831,39.24,36.64,33.44,31.84,27.74,26.14,22.54,19.84,18.64,16.15,14.68,12.87,11.64,10.33,8.69,7.04,3.36,1.39,0.0
